       |BH ID|          |Galaxy ID|   |Distance from Center| 
      245571257              1         1.2176
      245571728             64         0.0058648
      245571756              6         0.0073368
      245571938              0         0.5885
      245572641              5         0.0015645
      245572642             21         0.22584
      245572892             27         0.22215
      245573385              0         0.19947
      245574260             43         0.027433
      245575485             33         0.40303
      245575789            331         0.27632
      245575928            560         0.59656
      245576037              2         0.49389
      245576081              3         0.032244
      245576104             47         0.0042946
      245576114            138         0.16607
      245576274             23         0.043051
      245576429              0         0.23015
      245576480            106         0.029583
