       |BH ID|          |Galaxy ID|   |Distance from Center| 
      245571257              1         1.3956
      245571259              5         0.4254
      245571853             26         0.032267
      245571864              6         0.63774
      245571865              8         0.011147
      245571870              0         0.017022
      245571891              0         0.061785
      245571894             18         0.27341
      245571909             48         0.014485
      245571910             22         0.034018
      245571977            134         0.079327
      245572137             27         0.31969
      245572884             67         0.20428
      245572886             17         0.13416
      245572946             15         0.0074987
      245572957            155         0.14502
      245572958              3         0.12986
      245572959            100         0.86481
      245573048             79         0.25936
      245573140              2         0.91022
      245573148              2         1.1094
      245573237             20         0.01988
      245573483             14         0.017353
      245573569            278         0.066003
      245573572            406         0.03034
      245573752             41         0.031483
      245573760            654         0.031313
      245573836            230         1.3111
      245573906              0         0.023424
      245573949              0         0.68845
      245574044             40         2.6634
      245574045            101         0.052904
      245574117            272         0.72011
      245574167             90         0.26719
      245574174              9         0.044331
      245574187            367         0.32391
      245574189             23         0.1432
      245574235             97         0.045618
      245574263            295         0.13862
      245574276             16         0.014737
      245574286            333         0.022385
      245574295            120         0.8117
      245574319            124         0.090287
      245574325            202         0.40748
      245574326            356         0.55205
      245574349              0         0.01524
      245574412             10         0.24336
      245574413             76         0.41364
      245574423             12         0.015982
      245574435            412         0.082976
      245574477            180         0.49432
      245574558             39         0.052883
      245574588              0         1.2894
      245574612            327         0.51967
      245574636           2366         0.6111
      245574639             74         0.35443
